area,file,reason,status,owner,estimated_cleanup_hours,notes
editor,Frontend/components/features/p1/InteractiveWidgetsInserter.tsx,P1.1 Interactive Widgets - Component exists but not integrated into editor UI,unreachable,@page-composer,4,"Component exists but not in editor page p1Tools array. Either integrate or remove."
navigation,Frontend/app/presentations/page.tsx,NAV.PRESENTATIONS list page not implemented,missing,@frontend,8,"Route exists in docs but page not created. Needs user's presentation library implementation."
tests,Frontend/__tests__/features/p1/InteractiveWidgets.test.tsx,Tests for unintegrated component,unreachable,@testing,1,"Tests exist for P1.1 but feature not accessible. Clean up if component removed."
editor,Editor slide thumbnails,No visual slide thumbnails in editor,missing,@ux-designer,16,"UX critique issue #8 - Only shows 'Slide X / 10' with arrows. Needs SlidesPanel component."
components,Mobile toolbar components,No mobile-optimized toolbar,missing,@ux-designer,16,"UX critique issue #4 - Needs MobileToolbar.tsx and BottomNav.tsx for responsive design."
editor,Undo/Redo implementation,Only UI buttons exist in EditorToolbar,partial,@frontend,8,"Buttons exist but no actual undo/redo logic. Need command pattern with history stack."
auth,Frontend/app/register/page.tsx,Separate register page not needed,delete-candidate,@auth-implementer,1,"OAuth auto-registers users. Dedicated register page is redundant."
components,Old template selector,Duplicate template selection in home page,potential-duplicate,@frontend,2,"TemplateSelector component used in home page. Check if TemplateLibrary has overlap."
tests,E2E navigation tests,Missing E2E tests for navigation flows,missing,@testing,4,"Auth E2E exists but no tests for /library, /analytics, /settings navigation."
components,Keyboard shortcuts implementation,KeyboardShortcutsButton exists but modal not implemented,partial,@frontend,6,"Button exists in editor but actual shortcuts modal content missing."
editor,Context menu for slides,Right-click context menu not implemented,missing,@frontend,4,"Docs mention context menu for slide operations but not in current UI."
components,Empty state components,No EmptyState.tsx component,missing,@ux-designer,3,"UX critique issue #12 - Need illustrations for empty states. Currently just text."
components,Tooltip component,No tooltip implementation for toolbar icons,missing,@ux-designer,4,"UX critique issue #13 - No tooltips on icon buttons. Need Radix UI Tooltip integration."
editor,Focus trap in modals,No focus management in panels/modals,missing,@a11y,4,"UX critique issue #20 - Need focus trapping when panels open."
components,Skip link,No skip-to-content link for accessibility,missing,@a11y,1,"UX critique issue #19 - Need skip link at top of page for keyboard users."
components,AIBadge component,AIBadge.tsx exists but not consistently used,partial,@ux-designer,2,"AIBadge in EditorToolbar but not in ContentQualityPanel, VoiceNarrator needs updates."
styling,Dark mode,No dark mode implementation,missing,@ux-designer,12,"UX critique low priority - Need theme toggle and dark variants."
components,Loading skeletons,No skeleton loaders,missing,@ux-designer,6,"UX critique issue #25 - Mix of loading states. Need unified skeleton UI."
components,Error toast,No toast notification system,missing,@frontend,4,"UX critique issue #26 - Inconsistent error handling. Need toast system (sonner?)."
editor,Drag-and-drop slides,SlideDuplicator has reordering but no visual drag,partial,@frontend,8,"Component exists but drag-and-drop UI not fully implemented in editor."
telemetry,Frontend/components/TelemetryDashboard.tsx,Developer dashboard but no UI to access it,unreachable,@devtools,2,"Component exists but no route or link to access it. Add to dev menu or remove."
tests,Contract tests CI,Contract tests exist but not in CI/CD,missing,@devops,2,"39 contract tests but no CI workflow. Add to .github/workflows/."
docs,API documentation,api-docs page exists but content minimal,partial,@docs,8,"Route /api-docs exists but needs comprehensive API documentation content."
components,Service worker,Offline support mentioned in CHANGELOG but not implemented,missing,@frontend,12,"CHANGELOG mentions service worker for offline mode but not found in codebase."
components,Progressive Web App,PWA manifest and icons not configured,missing,@frontend,4,"No manifest.json or PWA configuration. Needed for mobile app-like experience."
settings,Settings subpages,Settings page exists but no subpages for fonts integrations,partial,@frontend,6,"Settings page basic. Need /settings/fonts /settings/integrations subpages."
library,Template categories,TemplateLibrary needs category filtering,partial,@frontend,4,"Templates exist but no category-based filtering UI in library page."
marketplace,Payment integration,ThemesMarketplace exists but no actual payment flow,partial,@payments,16,"Marketplace UI exists but no Stripe/payment integration for purchasing themes."
auth,Cross-tab sync,Auth docs mention cross-tab sync but not fully implemented,partial,@auth-implementer,4,"Storage events setup but cross-tab session sync needs testing/completion."
nfts,Web3 wallet,NFTMinter exists but wallet connection UX incomplete,partial,@web3,8,"Component exists but onboarding wizard mentioned in CHANGELOG not implemented."
ar,AR calibration,ARPresentationMode needs simplified calibration,partial,@ar-dev,8,"CHANGELOG notes 38% completion - needs reduction from 5 steps to 2 steps."
3d,Device detection,ThreeDAnimationEditor needs device performance checks,partial,@3d-dev,4,"CHANGELOG notes lag on low-end devices. Need auto-disable on <2GB RAM."
i18n,Translation strings,LanguageSelector exists but no i18n string files,partial,@i18n,16,"Language selector UI exists but no actual translation JSON files for 20+ languages."
collaboration,WebSocket server,CollaborationPanel exists but WebSocket backend not connected,partial,@backend,12,"Real-time collab UI exists but backend WebSocket server needs implementation."
collaboration,Commenting system,Collaboration docs mention commenting but UI not implemented,partial,@frontend,8,"CollaborationPanel exists but inline commenting UI not visible."
analytics,Heatmaps,AnalyticsDashboard mentions heatmaps but not implemented,partial,@analytics,12,"Dashboard exists but heatmap visualization not in component."
export,Batch export,CHANGELOG v2.1.0 mentions batch export but not implemented,missing,@frontend,6,"Export single presentation works. Batch export for multiple not in UI."
ai,Layout suggestions,CHANGELOG v2.1.0 mentions AI layout suggestions but not implemented,missing,@ai-dev,16,"AI image generation exists but smart layout suggestions feature not started."
versioning,Visual diff,VersionHistoryPanel mentions compare versions but no diff UI,partial,@frontend,8,"Version history timeline exists but visual diff comparison not implemented."
search,Global search,Sidebar has search button but no search functionality,missing,@frontend,12,"Search icon in home sidebar (line 298) but clicking does nothing."
templates,50+ new templates,CHANGELOG v2.1.0 roadmap but only 11 templates exist,partial,@design,20,"Currently 11 templates (SLIDE_TEMPLATES). Roadmap promises 50+ across 10 categories."
video,Thumbnail generation,VideoEmbedder exists but no thumbnail preview mentioned,partial,@frontend,4,"Video embed works but automatic thumbnail generation not visible."
charts,Live data,ChartInserter exists but no live data refresh,partial,@frontend,6,"Static chart insertion works. Live data refresh for real-time charts missing."
fonts,Font preview,FontUploader exists but no preview before upload,partial,@frontend,4,"Upload works but user can't preview font before applying to slides."
