feature_id,feature_name,tier,class,page,placement_type,control_id,rationale,priority,keyboard_shortcut
P0.GENERATE,Presentation Generator,P0,AGENTIC_WORKFLOW,/,primary_cta,generate-presentation-btn,"Primary home page action - most important user flow. Large prominent button/form.",critical,Cmd+N
P0.1,Grid Layout System,P0,UI_TOOL,/presentations/[id]/edit,icon,grid-layout-icon,"High-frequency layout tool. Users change layouts frequently during editing.",high,Cmd+G
P0.2,Typography System,P0,UI_TOOL,/presentations/[id]/edit,icon,typography-icon,"High-frequency text styling. Essential for every slide.",high,Cmd+T
P0.3,Color Palettes & WCAG,P0,UI_TOOL,/presentations/[id]/edit,icon,color-palette-icon,"High-frequency color changes. Visual prominence needed.",high,Cmd+K
P0.4,Chart Integration,P0,UI_TOOL,/presentations/[id]/edit,icon,chart-icon,"Medium-high frequency. Data visualizations are common.",high,Cmd+Shift+C
P0.5,Text Overflow Handling,P0,UI_TOOL,/presentations/[id]/edit,auto_modal,text-overflow-modal,"Auto-triggered modal when overflow detected. Not a manual control.",medium,
P0.6,Master Slides & Branding,P0,UI_TOOL,/presentations/[id]/edit,dropdown,view-menu-master,"Medium frequency. Users set once per presentation.",medium,
P0.7,Transitions & Animations,P0,UI_TOOL,/presentations/[id]/edit,dropdown,tools-menu-transitions,"Medium frequency. Applied per-slide or globally.",medium,Cmd+Shift+T
P0.8,Accessibility Engine,P0,UI_TOOL,/presentations/[id]/edit,dropdown,tools-menu-accessibility,"Low-medium frequency. Run before export.",medium,Cmd+Shift+A
P0.9,Export Engine,P0,UI_TOOL,/presentations/[id]/edit,icon,export-icon,"High frequency - users export often. Prominent placement.",high,Cmd+E
P0.10,Image Optimization,P0,UI_TOOL,/presentations/[id]/edit,auto_process,image-optimizer,"Auto-triggered on image upload. Background process.",low,
P0.11,Content Validation,P0,UI_TOOL,/presentations/[id]/edit,dropdown,tools-menu-validation,"Medium frequency. Run before presenting.",medium,
P0.12,LLM Judge Quality Control,P0,LLM_CALL,/presentations/[id]/edit,floating_badge,quality-score-badge,"LLM feature - background scoring. Display as floating quality score badge with AI icon.",medium,
P1.1,Interactive Widgets,P1,UI_TOOL,/presentations/[id]/edit,icon,widget-icon,"Medium-high frequency for interactive presentations.",medium,Cmd+Shift+W
P1.2,Real-time Synchronization,P1,UI_TOOL,/presentations/[id]/edit,status_indicator,sync-status,"Background feature. Show sync status in header with avatar badges.",low,
P1.3,Speaker Notes UI,P1,UI_TOOL,/presentations/[id]/edit,panel,notes-panel,"High frequency for presenters. Toggle panel below canvas.",high,Cmd+Shift+N
P1.4,Slide Duplication & Reordering,P1,UI_TOOL,/presentations/[id]/edit,context_menu,slide-context-menu,"High frequency. Right-click context menu + keyboard shortcuts.",high,Cmd+D
P1.5,Template Library,P1,UI_TOOL,/library,page,library-page,"Exploratory feature. Dedicated page for browsing.",medium,
P1.6,Multi-Language Support,P1,UI_TOOL,/presentations/[id]/edit,dropdown,language-dropdown-header,"Medium frequency. Header dropdown for UI language.",medium,
